Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),MAP (psi),MAF (gram/sec),Barometer (psi),Battery Volt (V),Fuel Open Time (ms),Starting Compensation - Fuel (%),Ignition Angle (DBTDC), Lambda1, Lambda2,OILPRESS,   WS FR,   WS FL,   WS RL,   WS RR,Measured AFR #1,Measured AFR #2,Target AFR,Lambda/AFR LTF (%),Analog #1 (volts),Analog #2 (volts),Analog #3 (volts),Analog #4 (volts),Analog #5 (volts),Analog #6 (volts),Analog #7 (volts),Analog #8 (volts),
0.000,1657,80.8,165.4,0.0,12.72,0.00,14.70,14.50,2.43,100.0,18.8,2.78,0.82,24.92,0.0,0.0,0.0,0.0,15.68,0.00,14.11,100.0,0.50,0.50,2.85,0.84,0.01,0.01,1.50,1.07,
0.020,1684,80.8,165.4,0.0,12.69,0.00,14.70,14.50,2.43,100.0,19.6,2.68,0.71,23.75,0.0,0.0,0.0,0.0,15.48,0.00,14.08,100.0,0.50,0.50,2.75,0.73,0.01,0.01,1.45,1.07,
0.040,1684,80.8,165.4,0.0,12.69,0.00,14.70,14.50,2.43,100.0,19.6,2.81,0.84,23.06,0.0,0.0,0.0,0.0,15.74,0.00,14.08,100.0,0.50,0.50,2.88,0.86,0.01,0.01,1.42,1.07,
0.060,1558,80.8,165.4,0.0,12.67,0.00,14.70,14.50,2.43,100.0,26.7,2.72,0.74,22.42,0.0,0.0,0.0,0.0,15.55,0.00,14.08,100.0,0.50,0.50,2.78,0.76,0.01,0.01,1.40,1.07,
0.080,1558,80.8,165.4,0.0,12.73,0.00,14.70,14.50,2.43,100.0,26.7,2.78,0.79,21.84,0.0,0.0,0.0,0.0,15.67,0.00,14.08,100.0,0.50,0.50,2.84,0.81,0.01,0.01,1.37,1.07,
0.100,1418,80.8,165.4,0.0,12.75,0.00,14.70,14.50,2.43,100.0,26.8,2.83,0.84,22.94,0.0,0.0,0.0,0.0,15.77,0.00,14.10,100.0,0.50,0.50,2.90,0.86,0.01,0.01,1.42,1.07,
0.123,1673,80.8,165.4,0.0,12.85,0.00,14.70,14.60,2.41,100.0,28.6,2.69,0.69,24.47,0.0,0.0,0.0,0.0,15.51,0.00,14.11,100.0,0.50,0.50,2.76,0.71,0.01,0.01,1.48,1.07,
0.141,1673,80.8,165.4,0.0,12.68,0.00,14.70,14.60,2.41,100.0,28.6,2.85,0.83,26.42,0.0,0.0,0.0,0.0,15.82,0.00,14.11,100.0,0.50,0.50,2.91,0.85,0.01,0.01,1.56,1.07,
0.160,1838,80.8,165.4,0.0,12.52,0.00,14.70,14.60,2.43,100.0,29.0,2.75,0.75,25.05,0.0,0.0,0.0,0.0,15.61,0.00,14.08,100.0,0.50,0.51,2.81,0.76,0.01,0.01,1.50,1.07,
0.180,1838,80.8,165.4,0.0,12.37,0.00,14.70,14.50,2.43,100.0,29.0,2.74,0.75,24.25,0.0,0.0,0.0,0.0,15.61,0.00,14.08,100.0,0.50,0.50,2.81,0.77,0.01,0.01,1.47,1.07,
0.200,1669,80.8,165.4,0.0,12.29,0.00,14.70,14.50,2.46,100.0,16.2,2.82,0.84,23.13,0.0,0.0,0.0,0.0,15.76,0.00,14.11,100.0,0.50,0.50,2.88,0.86,0.01,0.01,1.43,1.07,
0.221,1669,80.8,165.4,0.0,12.41,0.00,14.70,14.60,2.46,100.0,16.2,2.66,0.68,24.34,0.0,0.0,0.0,0.0,15.44,0.00,14.11,100.0,0.50,0.51,2.72,0.70,0.01,0.01,1.47,1.07,
0.240,1651,80.8,165.4,0.0,12.64,0.00,14.70,14.50,2.43,100.0,16.3,2.82,0.84,25.19,0.0,0.0,0.0,0.0,15.77,0.00,14.11,100.0,0.50,0.50,2.89,0.86,0.01,0.01,1.51,1.07,
0.260,1896,80.8,165.4,0.0,12.77,0.00,14.70,14.50,2.43,100.0,26.3,2.77,0.79,26.88,0.0,0.0,0.0,0.0,15.66,0.00,14.11,100.0,0.50,0.51,2.84,0.81,0.01,0.01,1.58,1.07,
0.280,1896,80.8,165.4,0.0,12.37,0.00,14.70,14.50,2.43,100.0,26.3,2.66,0.73,25.44,0.0,0.0,0.0,0.0,15.44,0.00,14.11,100.0,0.50,0.50,2.73,0.75,0.01,0.01,1.52,1.07,
0.300,1852,80.8,165.4,0.0,12.25,0.00,14.70,14.50,2.46,100.0,26.2,2.70,0.82,25.13,0.0,0.0,0.0,0.0,15.51,0.00,14.11,100.0,0.50,0.50,2.76,0.84,0.01,0.01,1.51,1.07,
0.321,1852,80.8,165.4,0.0,12.35,0.00,14.70,14.60,2.46,100.0,26.2,2.55,0.70,24.25,0.0,0.0,0.0,0.0,15.20,0.00,14.11,100.0,0.50,0.51,2.61,0.72,0.01,0.01,1.47,1.07,
0.340,1747,80.8,165.4,0.0,12.47,0.00,14.70,14.50,2.46,100.0,26.2,2.66,0.82,25.34,0.0,0.0,0.0,0.0,15.44,0.00,14.11,100.0,0.50,0.51,2.72,0.84,0.01,0.01,1.51,1.07,
0.360,1853,80.8,165.4,0.0,12.43,0.00,14.70,14.50,2.44,100.0,26.1,2.67,0.81,26.05,0.0,0.0,0.0,0.0,15.45,0.00,14.11,100.0,0.50,0.51,2.74,0.83,0.01,0.01,1.54,1.07,
0.380,1853,80.8,165.4,0.0,12.28,0.00,14.70,14.50,2.44,100.0,26.1,2.58,0.70,25.67,0.0,0.0,0.0,0.0,15.27,0.00,14.11,100.0,0.50,0.50,2.65,0.71,0.01,0.01,1.53,1.07,
0.400,1790,80.8,165.4,0.0,12.31,0.00,14.70,14.50,2.46,100.0,26.0,2.75,0.82,24.56,0.0,0.0,0.0,0.0,15.61,0.00,14.11,100.0,0.50,0.50,2.81,0.84,0.01,0.01,1.48,1.07,
0.421,1790,80.8,165.4,0.0,12.44,0.00,14.70,14.60,2.46,100.0,26.0,2.70,0.74,26.05,0.0,0.0,0.0,0.0,15.52,0.00,14.11,100.0,0.50,0.50,2.77,0.76,0.01,0.01,1.54,1.07,
0.440,1748,80.8,165.4,0.0,12.64,0.00,14.70,14.60,2.44,100.0,16.3,2.78,0.81,24.94,0.0,0.0,0.0,0.0,15.68,0.00,14.11,100.0,0.50,0.50,2.85,0.83,0.01,0.01,1.50,1.07,
0.460,1851,80.8,165.4,0.0,12.63,0.00,14.70,14.50,2.44,100.0,18.7,2.80,0.83,24.77,0.0,0.0,0.0,0.0,15.73,0.00,14.11,100.0,0.50,0.50,2.87,0.85,0.01,0.01,1.49,1.07,
0.480,1851,80.8,165.4,0.0,12.37,0.00,14.70,14.60,2.44,100.0,18.7,2.60,0.68,24.69,0.0,0.0,0.0,0.0,15.32,0.00,14.11,100.0,0.50,0.50,2.67,0.70,0.01,0.01,1.49,1.07,
0.500,1742,80.8,165.4,0.0,12.25,0.00,14.70,14.50,2.46,100.0,18.9,2.69,0.83,24.84,0.0,0.0,0.0,0.0,15.49,0.00,14.10,100.0,0.50,0.50,2.75,0.85,0.01,0.01,1.49,1.07,
0.521,1742,80.8,165.4,0.0,12.28,0.00,14.70,14.60,2.46,100.0,18.9,2.56,0.75,23.77,0.0,0.0,0.0,0.0,15.23,0.00,14.10,100.0,0.50,0.50,2.62,0.77,0.01,0.01,1.45,1.07,
0.540,1650,80.8,165.4,0.0,12.45,0.00,14.70,14.50,2.44,100.0,19.3,2.53,0.75,24.80,0.0,0.0,0.0,0.0,15.17,0.00,14.11,100.0,0.50,0.50,2.59,0.77,0.01,0.01,1.49,1.07,
0.560,1650,80.8,165.4,0.0,12.67,0.00,14.70,14.60,2.44,100.0,19.3,2.61,0.84,25.09,0.0,0.0,0.0,0.0,15.33,0.00,14.11,100.0,0.50,0.50,2.67,0.86,0.01,0.01,1.50,1.07,
0.580,1760,80.8,165.4,0.0,12.57,0.00,14.70,14.60,2.43,100.0,20.2,2.48,0.69,23.09,0.0,0.0,0.0,0.0,15.07,0.00,14.08,100.0,0.50,0.50,2.54,0.71,0.01,0.01,1.42,1.07,
0.600,1639,80.8,165.4,0.0,12.53,0.00,14.70,14.50,2.44,100.0,19.5,2.66,0.83,23.94,0.0,0.0,0.0,0.0,15.44,0.00,14.11,100.0,0.50,0.50,2.72,0.85,0.01,0.01,1.46,1.07,
0.620,1639,80.8,165.4,0.0,12.47,0.00,14.70,14.60,2.44,100.0,19.5,2.66,0.79,22.64,0.0,0.0,0.0,0.0,15.44,0.00,14.11,100.0,0.50,0.50,2.72,0.81,0.01,0.01,1.41,1.07,
0.640,1626,80.8,165.4,0.0,12.45,0.00,14.70,14.50,2.43,100.0,18.0,2.61,0.71,24.22,0.0,0.0,0.0,0.0,15.32,0.00,14.11,100.0,0.50,0.51,2.67,0.73,0.01,0.01,1.47,1.07,
