Time(s),Pressure,Temperature,inH2O to Pa,Pa to m/s,m/s to mph
0.284,0.04,39.71,0.0099536,3.974841516,8.891481981
0.318,0.04,39.71,0.0099536,3.974841516,8.891481981
0.353,0.04,39.71,0.0099536,3.974841516,8.891481981
0.388,0.04,39.71,0.0099536,3.974841516,8.891481981
0.422,0.04,39.71,0.0099536,3.974841516,8.891481981
0.456,0.04,39.71,0.0099536,3.974841516,8.891481981
0.491,0.04,39.71,0.0099536,3.974841516,8.891481981
0.526,0.04,39.71,0.0099536,3.974841516,8.891481981
0.56,0.04,39.71,0.0099536,3.974841516,8.891481981
0.594,0.04,39.71,0.0099536,3.974841516,8.891481981
0.629,0.04,39.71,0.0099536,3.974841516,8.891481981
0.664,0.04,39.71,0.0099536,3.974841516,8.891481981
0.699,0.04,39.71,0.0099536,3.974841516,8.891481981
0.737,0.04,39.71,0.0099536,3.974841516,8.891481981
0.774,0.04,39.71,0.0099536,3.974841516,8.891481981
0.812,0.04,39.71,0.0099536,3.974841516,8.891481981
0.849,0.04,39.71,0.0099536,3.974841516,8.891481981
0.886,0.04,39.71,0.0099536,3.974841516,8.891481981
0.924,0.04,39.71,0.0099536,3.974841516,8.891481981
0.961,0.04,39.71,0.0099536,3.974841516,8.891481981
0.999,0.04,39.71,0.0099536,3.974841516,8.891481981
1.036,0.04,39.71,0.0099536,3.974841516,8.891481981
1.074,0.04,39.71,0.0099536,3.974841516,8.891481981
1.111,0.04,39.71,0.0099536,3.974841516,8.891481981
1.148,0.04,39.71,0.0099536,3.974841516,8.891481981
1.186,0.04,39.71,0.0099536,3.974841516,8.891481981
1.223,0.04,39.71,0.0099536,3.974841516,8.891481981
1.261,0.04,39.71,0.0099536,3.974841516,8.891481981
1.298,0.04,39.71,0.0099536,3.974841516,8.891481981
1.336,0.03,39.71,0.0074652,3.442313729,7.700249273
1.373,0.04,39.71,0.0099536,3.974841516,8.891481981
1.411,0.04,39.71,0.0099536,3.974841516,8.891481981
1.449,0.04,39.71,0.0099536,3.974841516,8.891481981
1.485,0.04,39.71,0.0099536,3.974841516,8.891481981
1.523,0.04,39.71,0.0099536,3.974841516,8.891481981
1.56,0.04,39.71,0.0099536,3.974841516,8.891481981
1.598,0.04,39.71,0.0099536,3.974841516,8.891481981
1.635,0.04,39.71,0.0099536,3.974841516,8.891481981
1.673,0.04,39.71,0.0099536,3.974841516,8.891481981
1.711,0.04,39.71,0.0099536,3.974841516,8.891481981
1.747,0.03,39.71,0.0074652,3.442313729,7.700249273
1.785,0.03,39.71,0.0074652,3.442313729,7.700249273
1.822,0.03,39.71,0.0074652,3.442313729,7.700249273
1.86,0.03,39.71,0.0074652,3.442313729,7.700249273
1.897,0.03,39.71,0.0074652,3.442313729,7.700249273
1.935,0.03,39.71,0.0074652,3.442313729,7.700249273
1.972,0.04,39.71,0.0099536,3.974841516,8.891481981
2.01,0.04,39.71,0.0099536,3.974841516,8.891481981
2.048,0.04,39.71,0.0099536,3.974841516,8.891481981
